1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7
23.01,49.78,58.26,82.425,50.365,29.88,27.08,35.295,59.58,29.6,14.065,12.31,35.55,22.535,30.055,24.455,17.43,33.435,35.405,55.665,21.18
23.06,49.84,58.36,82.525,50.395,29.88,27.08,35.345,59.635,29.6,14.02,12.35,35.615,22.535,30.02,24.465,17.46,33.46,35.44,55.705,21.185
23.01,49.69,58.31,82.42,50.255,29.835,26.97,35.345,59.585,29.545,14.065,12.385,35.645,22.535,29.945,24.415,17.56,33.48,35.5,55.66,21.085
22.905,49.62,58.215,82.385,50.345,29.83,27.03,35.345,59.635,29.645,14.065,12.385,35.665,22.53,30.02,24.465,17.43,33.48,35.39,55.71,21.23
23.01,49.745,58.26,82.52,50.285,29.79,27.02,35.295,59.685,29.58,14.02,12.315,35.69,22.535,29.95,24.565,17.5,33.415,35.55,55.755,21.14
