1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7
16.365,70.75,111.86,102.84,73.615,41.31,54.4,95.55,87.575,58.755,30.33,41.23,40.95,24.785,44.835,29.63,47.27,81.21,29.47,65.29,36.1
16.58,69.82,111.11,102.395,73.19,40.97,53.3,94.645,87.2,58.465,30.525,41.405,41.34,24.905,44.455,29.7,47.17,80.99,29.46,65.245,36.055
16.42,69.03,110.53,102.33,73.195,41.25,52.66,94.17,86.785,58.16,29.93,41.53,40.955,24,43.31,29.535,46.89,80.515,29.395,65.12,35.965
16.9,70.325,111.27,102.365,73.305,41.16,53.445,94.41,86.57,57.945,29.87,41.02,40.59,24.57,44.495,29.685,47.245,80.925,29.34,65.04,35.945
16.855,69.855,111.235,102.695,73.76,41.46,53.06,94.47,87.005,58.43,30.4,41.455,41.21,24.66,43.7,29.585,46.89,80.465,29.26,64.94,35.955
