1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7
22.905,49.375,57.98,82.1,50.345,29.875,26.765,35.125,59.38,29.69,14.14,12.38,35.635,22.42,29.71,24.43,17.22,33.155,35.07,55.335,21.17
22.905,49.375,57.98,82.1,50.345,29.875,26.765,35.125,59.38,29.69,14.14,12.38,35.635,22.42,29.71,24.43,17.22,33.155,35.07,55.335,21.17
22.905,49.375,57.98,82.1,50.345,29.875,26.765,35.125,59.38,29.69,14.14,12.38,35.635,22.42,29.71,24.43,17.22,33.155,35.07,55.335,21.17
22.905,49.375,57.98,82.1,50.345,29.875,26.765,35.125,59.38,29.69,14.14,12.38,35.635,22.42,29.71,24.43,17.22,33.155,35.07,55.335,21.17
22.905,49.375,57.98,82.1,50.345,29.875,26.765,35.125,59.38,29.69,14.14,12.38,35.635,22.42,29.71,24.43,17.22,33.155,35.07,55.335,21.17
