1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7
23.115,49.805,58.425,82.48,50.485,29.89,27.005,35.41,59.605,29.735,14.025,12.35,35.585,22.43,29.8,24.37,17.435,33.405,35.275,55.555,21.22
22.925,49.6,58.18,82.235,50.435,29.735,26.935,35.31,59.5,29.775,14.01,12.325,35.53,22.215,29.73,24.36,17.115,33.255,34.985,55.415,21.37
23.1,49.415,58.07,82.145,50.555,29.825,26.68,35.05,59.245,29.82,13.935,13.935,35.605,22.875,29.72,24.365,17.605,33.24,35.225,55.45,21.33
22.9,49.56,58.155,82.175,50.425,29.895,26.945,35.3,59.46,29.8,14.065,12.38,35.605,22.515,29.715,24.355,17.34,33.195,35.005,55.25,21.175
23.085,49.715,58.28,82.4,50.325,29.695,26.92,35.301,59.52,29.765,13.995,12.32,35.56,22.715,29.775,24.385,17.715,33.375,35.455,55.56,21.175
