1-2,1-3,1-4,1-5,1-6,1-7,2-3,2-4,2-5,2-6,2-7,3-4,3-5,3-6,3-7,4-5,4-6,4-7,5-6,5-7,6-7
16.45,69.405,110.71,102.585,73.505,41.3,53.15,94.455,87.72,59.19,31.285,41.32,41.17,24.515,43.505,29.29,46.7,80.215,29.39,65.1,35.92
16.45,69.405,110.71,102.585,73.505,41.3,53.15,94.455,87.72,59.19,31.285,41.32,41.17,24.515,43.505,29.29,46.7,80.215,29.39,65.1,35.92
16.45,69.405,110.71,102.585,73.505,41.3,53.15,94.455,87.72,59.19,31.285,41.32,41.17,24.515,43.505,29.29,46.7,80.215,29.39,65.1,35.92
16.45,69.405,110.71,102.585,73.505,41.3,53.15,94.455,87.72,59.19,31.285,41.32,41.17,24.515,43.505,29.29,46.7,80.215,29.39,65.1,35.92
16.45,69.405,110.71,102.585,73.505,41.3,53.15,94.455,87.72,59.19,31.285,41.32,41.17,24.515,43.505,29.29,46.7,80.215,29.39,65.1,35.92
